Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
cucuta,no hay suficientes escuelas publicas,Educación,2,4,2023 10 14
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 05 29
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 03 28
cali,faltan medicos en el centro de salud,Salud,1,1,2024 10 06
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 06 09
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 05 16
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 10
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 05 22
barranquilla,falta agua potable en varias casas,Salud,1,2,2024 06 04
santa marta,faltan medicos en el centro de salud,Salud,1,3,2024 04 16
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 02 22
bogota,falta agua potable en varias casas,Salud,1,4,2024 05 07
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 02 20
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 03 20
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 07 23
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 10 09
cali,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 02 25
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 06 06
manizales,queremos mas presencia policial,Seguridad,3,4,2024 10 14
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 06 10
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 04 13
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 08 06
cartagena,falta agua potable en varias casas,Salud,1,2,2023 04 20
manizales,falta agua potable en varias casas,Salud,1,3,2023 12 02
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 09 18
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 10 07
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 05 07
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 07 23
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 09 18
pereira,falta agua potable en varias casas,Salud,1,4,2024 08 25
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 09 06
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 09 19
manizales,falta agua potable en varias casas,Salud,1,3,2024 06 07
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 03 11
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 26
bogota,queremos mas presencia policial,Seguridad,3,4,2024 02 08
cali,falta agua potable en varias casas,Salud,1,1,2023 09 28
medellin,falta agua potable en varias casas,Salud,1,4,2023 11 04
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 06 02
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 08 20
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 05 12
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 07 29
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 04 14
cali,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 03 23
cartagena,falta agua potable en varias casas,Salud,1,4,2024 01 20
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 10 12
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 06 26
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 05 24
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 30
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 06 20
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2023 01 23
cali,no hay suficientes escuelas publicas,Educación,2,3,2023 06 14
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 01 23
cucuta,falta agua potable en varias casas,Salud,1,3,2023 06 20
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 10 06
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 07 18
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 03 09
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 02 19
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 07 30
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 02 20
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 01 05
santa marta,falta agua potable en varias casas,Salud,1,3,2024 10 05
medellin,no hay suficientes escuelas publicas,Educación,2,4,2023 08 16
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 03 24
cucuta,no hay suficientes escuelas publicas,Educación,2,1,2023 06 14
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 09 24
santa marta,no hay suficientes escuelas publicas,Educación,2,4,2024 09 04
cucuta,falta agua potable en varias casas,Salud,1,1,2023 01 13
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 07 01
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 11 03
medellin,falta agua potable en varias casas,Salud,1,1,2024 09 26
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 03 04
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 10 03
cucuta,faltan medicos en el centro de salud,Salud,1,1,2023 06 07
manizales,falta agua potable en varias casas,Salud,1,4,2024 09 25
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 09 14
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 11
cucuta,queremos mas presencia policial,Seguridad,3,1,2023 12 26
bucaramanga,falta agua potable en varias casas,Salud,1,2,2023 12 12
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 02 17
barranquilla,queremos mas presencia policial,Seguridad,3,2,2023 11 11
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 06 22
barranquilla,queremos mas presencia policial,Seguridad,3,1,2024 01 03
cucuta,falta agua potable en varias casas,Salud,1,2,2024 07 09
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 07
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 07 05
manizales,no hay suficientes escuelas publicas,Educación,2,4,2023 10 30
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 09 04
manizales,faltan medicos en el centro de salud,Salud,1,3,2024 05 03
cali,queremos mas presencia policial,Seguridad,3,4,2023 07 06
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 11 15
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 09 05
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 09 03
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 02 19
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 02 11
cali,falta agua potable en varias casas,Salud,1,1,2023 01 04
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 05 07
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 07 03
cucuta,queremos mas presencia policial,Seguridad,3,1,2023 10 19
cali,faltan medicos en el centro de salud,Salud,1,3,2023 05 31
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 05 09
pereira,faltan medicos en el centro de salud,Salud,1,4,2024 11 16
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 11 02
bogota,no hay suficientes escuelas publicas,Educación,2,1,2023 12 17
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 06 01
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 27
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 01 22
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 03 31
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 02 14
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 06 10
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2023 11 30
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 06 12
pereira,queremos mas presencia policial,Seguridad,3,1,2024 09 12
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 06 01
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 10 15
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 05 04
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 07 30
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 02 05
cali,faltan medicos en el centro de salud,Salud,1,4,2023 06 20
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 02 13
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 05 17
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 02 26
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 06 30
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 02 26
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 03 14
cali,queremos mas presencia policial,Seguridad,3,2,2023 05 11
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 03 12
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 07 07
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 09 30
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 23
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 09 27
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 01 25
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 15
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 05 14
medellin,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 07 26
medellin,no hay suficientes escuelas publicas,Educación,2,4,2023 08 20
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 07 23
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 10 23
,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 06 23
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 04 05
cucuta,no hay suficientes escuelas publicas,Educación,2,3,2023 02 08
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 01 23
medellin,no hay suficientes escuelas publicas,Educación,2,4,2023 05 13
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 04 05
manizales,falta agua potable en varias casas,Salud,1,2,2023 02 26
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 10 03
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 03 07
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 09 03
bogota,no hay suficientes escuelas publicas,Educación,2,3,2024 11 09
manizales,falta agua potable en varias casas,Salud,1,2,2023 03 03
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 16
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 07 29
bogota,faltan medicos en el centro de salud,Salud,1,3,2024 08 29
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 08 23
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 06 14
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 03 17
medellin,queremos mas presencia policial,Seguridad,3,3,2024 04 02
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 01 02
manizales,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 04 12
bogota,faltan medicos en el centro de salud,Salud,1,1,2023 06 13
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 05 12
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 11 23
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 03 03
cucuta,falta agua potable en varias casas,Salud,1,1,2024 10 22
cucuta,queremos mas presencia policial,Seguridad,3,4,2024 05 02
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 06 21
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 06 15
manizales,falta agua potable en varias casas,Salud,1,1,2023 09 01
bogota,faltan medicos en el centro de salud,Salud,1,2,2024 10 17
manizales,queremos mas presencia policial,Seguridad,3,3,2024 10 17
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 10 20
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 29
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 07 12
bucaramanga,no hay suficientes escuelas publicas,Educación,2,3,2024 09 22
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 09 17
barranquilla,no hay suficientes escuelas publicas,Educación,2,3,2024 05 14
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 10 29
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 08
bogota,faltan medicos en el centro de salud,Salud,1,3,2023 10 03
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2024 05 13
cali,no hay suficientes escuelas publicas,Educación,2,3,2023 03 12
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 04 13
medellin,no hay suficientes escuelas publicas,Educación,2,1,2023 01 10
cartagena,falta agua potable en varias casas,Salud,1,2,2024 08 22
barranquilla,faltan medicos en el centro de salud,Salud,1,1,2023 01 23
bogota,queremos mas presencia policial,Seguridad,3,1,2023 08 08
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 06 11
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 11 26
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 02 12
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 20
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 05 21
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 11 18
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 10 17
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 06 19
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 08 28
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 24
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 11 06
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 16
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 17
cartagena,queremos mas presencia policial,Seguridad,3,2,2023 12 30
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 09 02
medellin,no hay suficientes escuelas publicas,Educación,2,2,2023 08 16
cartagena,falta agua potable en varias casas,Salud,1,1,2023 01 08
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 02 07
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 31
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 12 17
,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 08 15
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 01 06
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 06 29
bogota,no hay suficientes escuelas publicas,Educación,2,3,2023 04 24
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 04 14
medellin,queremos mas presencia policial,Seguridad,3,1,2023 07 11
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 18
cucuta,falta agua potable en varias casas,Salud,1,3,2023 02 11
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 08 30
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 06 09
cali,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 01 11
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 03 10
pereira,falta agua potable en varias casas,Salud,1,4,2024 05 14
manizales,falta agua potable en varias casas,Salud,1,2,2023 07 05
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 08 03
medellin,falta agua potable en varias casas,Salud,1,4,2023 07 21
cartagena,queremos mas presencia policial,Seguridad,3,4,2024 10 26
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 02 09
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 06 13
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 01 10
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 07 30
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 10 01
manizales,faltan medicos en el centro de salud,Salud,1,2,2024 11 19
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 08 27
pereira,no hay suficientes escuelas publicas,Educación,2,3,2023 12 03
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 09 08
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 07 01
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 12 19
manizales,falta agua potable en varias casas,Salud,1,1,2024 05 24
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2024 04 23
cali,no hay suficientes escuelas publicas,Educación,2,4,2024 05 19
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 02 07
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 02 20
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 11 26
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 03 06
,queremos mas presencia policial,Seguridad,3,2,2023 01 04
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 12 19
pereira,falta agua potable en varias casas,Salud,1,1,2023 03 14
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 02 04
bogota,queremos mas presencia policial,Seguridad,3,3,2023 01 10
cucuta,falta agua potable en varias casas,Salud,1,1,2023 03 22
cali,falta agua potable en varias casas,Salud,1,2,2023 01 17
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 07 28
cali,faltan medicos en el centro de salud,Salud,1,4,2023 02 10
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 26
manizales,queremos mas presencia policial,Seguridad,3,1,2024 06 26
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 02 26
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 06 16
bogota,no hay suficientes escuelas publicas,Educación,2,4,2024 03 04
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 12 03
cali,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 06 25
medellin,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 03 18
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 03 31
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 01 22
cartagena,queremos mas presencia policial,Seguridad,3,4,2024 10 13
pereira,no hay suficientes escuelas publicas,Educación,2,4,2023 12 20
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 09 11
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 30
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 02 01
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 08 27
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 10 27
,queremos mas presencia policial,Seguridad,3,4,2024 11 19
cali,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 08 27
cartagena,falta agua potable en varias casas,Salud,1,3,2024 02 29
cartagena,queremos mas presencia policial,Seguridad,3,3,2024 10 21
manizales,faltan medicos en el centro de salud,Salud,1,3,2024 03 16
cartagena,falta agua potable en varias casas,Salud,1,4,2023 09 10
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 11 13
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 10 31
cali,queremos mas presencia policial,Seguridad,3,1,2024 02 07
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 04 11
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 11 27
bucaramanga,falta agua potable en varias casas,Salud,1,4,2023 05 25
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 13
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 01 18
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 07 11
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 07 31
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 05 27
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 25
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 04 15
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 11 06
barranquilla,falta agua potable en varias casas,Salud,1,1,2024 06 02
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 03 09
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 03 12
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 07 07
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 02 23
santa marta,falta agua potable en varias casas,Salud,1,4,2024 05 20
medellin,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 02 26
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 05
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 03 08
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 06 01
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 09 16
cartagena,faltan medicos en el centro de salud,Salud,1,2,2023 05 28
bogota,queremos mas presencia policial,Seguridad,3,1,2024 02 17
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 11 06
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 02 15
cali,falta agua potable en varias casas,Salud,1,2,2023 03 20
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 02 04
cali,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 11 22
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 04 11
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 11 01
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 07 16
cali,no hay suficientes escuelas publicas,Educación,2,2,2024 09 12
bucaramanga,faltan medicos en el centro de salud,Salud,1,1,2024 03 07
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 06 08
santa marta,queremos mas presencia policial,Seguridad,3,1,2024 10 15
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 04 07
barranquilla,queremos mas presencia policial,Seguridad,3,4,2023 04 28
medellin,faltan medicos en el centro de salud,Salud,1,4,2024 06 15
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 01 09
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 01 10
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 08 20
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 07 13
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 02 14
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 08 15
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 02 03
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 09 28
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 09 19
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 10 12
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2024 01 05
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 03 16
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 09 04
cali,falta agua potable en varias casas,Salud,1,1,2023 09 19
bogota,faltan medicos en el centro de salud,Salud,1,2,2023 06 03
cali,faltan medicos en el centro de salud,Salud,1,2,2023 09 11
bogota,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 09
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 02 26
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 10 17
cartagena,queremos mas presencia policial,Seguridad,3,2,2023 11 08
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 06 11
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2024 05 11
cali,falta agua potable en varias casas,Salud,1,3,2024 01 14
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 05 24
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 02 09
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 04 06
santa marta,faltan medicos en el centro de salud,Salud,1,1,2024 08 04
manizales,falta agua potable en varias casas,Salud,1,3,2023 06 04
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 08 28
pereira,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 06 13
bucaramanga,no hay suficientes escuelas publicas,Educación,2,2,2023 05 24
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 04 19
cucuta,faltan medicos en el centro de salud,Salud,1,4,2023 07 24
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 11 07
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 11 05
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 12 09
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 02 14
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 12 18
barranquilla,faltan medicos en el centro de salud,Salud,1,1,2024 05 15
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 05 23
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 03 09
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 02
medellin,no hay suficientes escuelas publicas,Educación,2,2,2024 08 14
santa marta,queremos mas presencia policial,Seguridad,3,2,2023 06 17
cucuta,queremos mas presencia policial,Seguridad,3,1,2023 09 02
barranquilla,faltan medicos en el centro de salud,Salud,1,1,2023 07 09
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 05 12
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 07 13
medellin,faltan medicos en el centro de salud,Salud,1,2,2023 07 28
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 10 19
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 02 16
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 04 04
bucaramanga,faltan medicos en el centro de salud,Salud,1,3,2023 07 24
pereira,queremos mas presencia policial,Seguridad,3,3,2023 02 16
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 03 02
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 09 04
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 05 06
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 11 04
cali,no hay suficientes escuelas publicas,Educación,2,3,2024 04 28
bogota,falta agua potable en varias casas,Salud,1,2,2023 12 22
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 17
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 09 08
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 29
